Sample time	Treatment	SOC (g kg-1)	DOC(mg kg-1)
2010	Conserv-Amb1	12.89	106.70
2010	Conserv-Amb2	12.11	95.17
2010	Conserv-Amb3	11.65	103.53
2010	Conserv-Amb4	12.75	116.14
2010	Conserv-Warm1	12.10	104.56
2010	Conserv-Warm2	12.14	114.25
2010	Conserv-Warm3	12.99	61.81
2010	Conserv-Warm4	11.88	93.54
2010	Conven-Amb1	8.93	74.08
2010	Conven-Amb2	8.55	75.84
2010	Conven-Amb3	9.21	74.99
2010	Conven-Amb4	7.90	84.50
2010	Conven-Warm1	8.62	85.30
2010	Conven-Warm2	8.05	85.41
2010	Conven-Warm3	8.73	32.95
2010	Conven-Warm4	9.32	67.89
2012	Conserv-Amb1	12.65	115.47
2012	Conserv-Amb2	12.59	113.34
2012	Conserv-Amb3	12.85	115.47
2012	Conserv-Amb4	12.26	113.34
2012	Conserv-Warm1	12.28	102.12
2012	Conserv-Warm2	12.40	90.18
2012	Conserv-Warm3	13.26	92.19
2012	Conserv-Warm4	13.53	94.83
2012	Conven-Amb1	7.90	72.69
2012	Conven-Amb2	8.99	52.26
2012	Conven-Amb3	9.37	64.09
2012	Conven-Amb4	9.98	72.01
2012	Conven-Warm1	9.16	78.77
2012	Conven-Warm2	9.45	86.71
2012	Conven-Warm3	8.07	77.99
2012	Conven-Warm4	9.16	66.28
2014	Conserv-Amb1	12.17	139.56
2014	Conserv-Amb2	12.41	124.37
2014	Conserv-Amb3	14.04	125.73
2014	Conserv-Amb4	12.94	130.09
2014	Conserv-Warm1	12.78	170.74
2014	Conserv-Warm2	14.28	166.88
2014	Conserv-Warm3	12.33	166.15
2014	Conserv-Warm4	13.37	168.18
2014	Conven-Amb1	8.86	67.17
2014	Conven-Amb2	8.29	106.19
2014	Conven-Amb3	8.86	91.92
2014	Conven-Amb4	9.44	99.83
2014	Conven-Warm1	7.99	83.61
2014	Conven-Warm2	8.90	79.20
2014	Conven-Warm3	9.20	89.99
2014	Conven-Warm4	8.87	81.64
2016	Conserv-Amb1	13.43	62.36
2016	Conserv-Amb2	13.27	65.52
2016	Conserv-Amb3	12.92	74.46
2016	Conserv-Amb4	12.66	74.34
2016	Conserv-Warm1	13.58	117.64
2016	Conserv-Warm2	13.14	133.47
2016	Conserv-Warm3	14.14	120.19
2016	Conserv-Warm4	13.87	131.89
2016	Conven-Amb1	8.07	48.61
2016	Conven-Amb2	8.55	45.51
2016	Conven-Amb3	8.75	43.41
2016	Conven-Amb4	9.48	40.03
2016	Conven-Warm1	7.89	62.73
2016	Conven-Warm2	8.77	64.11
2016	Conven-Warm3	8.14	62.78
2016	Conven-Warm4	8.24	56.03
2018	Conserv-Amb1	13.28	62.50
2018	Conserv-Amb2	12.63	75.35
2018	Conserv-Amb3	12.66	82.01
2018	Conserv-Amb4	12.86	85.56
2018	Conserv-Warm1	14.28	80.36
2018	Conserv-Warm2	13.61	90.96
2018	Conserv-Warm3	13.43	92.27
2018	Conserv-Warm4	13.25	79.22
2018	Conven-Amb1	9.34	64.49
2018	Conven-Amb2	8.85	58.95
2018	Conven-Amb3	8.08	57.41
2018	Conven-Amb4	8.84	62.70
2018	Conven-Warm1	9.06	75.95
2018	Conven-Warm2	7.93	61.56
2018	Conven-Warm3	8.58	58.80
2018	Conven-Warm4	9.08	77.63
2020	Conserv-Amb1	13.07	119.95
2020	Conserv-Amb2	12.86	97.93
2020	Conserv-Amb3	13.07	93.54
2020	Conserv-Amb4	13.00	111.33
2020	Conserv-Warm1	13.48	118.10
2020	Conserv-Warm2	13.52	115.55
2020	Conserv-Warm3	13.64	136.20
2020	Conserv-Warm4	13.30	120.62
2020	Conven-Amb1	8.55	65.48
2020	Conven-Amb2	8.06	52.83
2020	Conven-Amb3	8.75	64.18
2020	Conven-Amb4	9.59	60.83
2020	Conven-Warm1	8.74	66.31
2020	Conven-Warm2	7.99	58.99
2020	Conven-Warm3	8.57	57.74
2020	Conven-Warm4	9.70	62.73
