Sample time	Treatment	Root biomass	Total PLFAs	Bacterial PLFAs	FungalPLFAs	Fungal/bacterial PLFAs
2020	Conserv-Amb1	75.00	88.17	46.04	5.72	0.12
2020	Conserv-Amb2	48.10	91.59	47.88	5.91	0.12
2020	Conserv-Amb3	122.00	89.54	46.85	5.76	0.12
2020	Conserv-Amb4	85.00	91.68	47.77	5.89	0.12
2020	Conserv-Warm1	84.70	109.13	58.35	7.28	0.12
2020	Conserv-Warm2	54.70	100.46	53.85	6.76	0.13
2020	Conserv-Warm3	134.00	113.40	60.14	8.14	0.14
2020	Conserv-Warm4	92.00	115.13	61.11	7.91	0.13
2020	Conven-Amb1	75.30	54.49	29.49	2.75	0.09
2020	Conven-Amb2	46.70	56.20	29.13	2.97	0.10
2020	Conven-Amb3	97.90	55.87	30.23	3.05	0.10
2020	Conven-Amb4	74.00	60.18	32.77	3.17	0.10
2020	Conven-Warm1	84.00	60.41	32.44	3.71	0.11
2020	Conven-Warm2	51.40	58.46	31.87	3.18	0.10
2020	Conven-Warm3	116.00	52.37	28.38	2.92	0.10
2020	Conven-Warm4	85.00	57.68	31.33	3.14	0.10
